group,group_name,section_id,part,section_name,unit_id,unit_line,unit_kind,display,change_id,rid,lineup_order,round,kind,status,new_in_latest,latest_status,applied_in,scope,target_text,target_line,old,new,old_sentence,new_sentence,source_file,source_ref,idea,form_only
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s1,2,sentence,full,CH-0984,D-407,1766,S97,edit,applied,yes,anchored,latest text,span,repaired copy,2,"(log S96, on decisions S23 to S27)","(logs S96 and S97, on decisions S23 to S28)","*Experiment, 26 September 2026 (log S96, on decisions S23 to S27).","*Experiment, 26 September 2026 (logs S96 and S97, on decisions S23 to S28).",tests/S96 Repair - scripts/replacements_stage3.json,entries[0]; line 2; group N; ruling: note,frame,no
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s2,2,sentence,full,CH-0880,D-299,1197,S95,edit,applied,no,anchored,scrubbed copy,paragraph,draft 5,2,,"*Experiment, 25 September 2026 (log S95, on decision S23). This is draft 5 of revision 2 with the words the owner forbade that day replaced, made by program (`tests/S95 Scrub - scripts/scrub_apply.py`, from `replacements.json` beside it) out of draft 5, md5 7f1d8ad02adf96e27622593bd263252e, one line of draft 5 to one line here, so the two compare line by line. It does not take the place of draft 5, which stays the current draft; it is the step the owner asked for next, to see what of the semantics is left in these words. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. One name here is provisional and says so (Part XI).*",,"*Experiment, 25 September 2026 (log S95, on decision S23). This is draft 5 of revision 2 with the words the owner forbade that day replaced, made by program (`tests/S95 Scrub - scripts/scrub_apply.py`, from `replacements.json` beside it) out of draft 5, md5 7f1d8ad02adf96e27622593bd263252e, one line of draft 5 to one line here, so the two compare line by line. It does not take the place of draft 5, which stays the current draft; it is the step the owner asked for next, to see what of the semantics is left in these words. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. One name here is provisional and says so (Part XI).*",tests/S95 Scrub - scripts/replacements.json,"fill_blank_lines[""2""]; line 2 (blank in draft 5)",frame,no
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s2,2,sentence,full,CH-0956,D-379,1627,S96,edit,applied,yes,anchored,repaired copy,span,"stage-1 text (S96; scrubbed copy with stage 1 applied, rebuilt in memory)",2,"with the S96 repairs applied, made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` beside it),","with the S96 repairs applied in two stages, the second after two readings of the first (`results/S96 Check of the repaired copy - whole text.md` and `- cases.md`), made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it),","This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied, made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` beside it), one line of the scrubbed copy to one line here, so the two compare line by line.","This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied in two stages, the second after two readings of the first (`results/S96 Check of the repaired copy - whole text.md` and `- cases.md`), made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it), one line of the scrubbed copy to one line here, so the two compare line by line.",tests/S96 Repair - scripts/replacements_stage2.json,entries[0]; line 2; group N; ref: the dated note; how: Claude's,frame,no
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s2,2,sentence,full,CH-0985,D-408,1767,S97,edit,applied,yes,anchored,latest text,span,repaired copy,2,"made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it),","made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it), and a third stage after the outside cross-examination and the owner's words of 26 September (decision S28), from `replacements_stage3.json` (rulings in `results/S96 Reading of the replies.md`),","This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied in two stages, the second after two readings of the first (`results/S96 Check of the repaired copy - whole text.md` and `- cases.md`), made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it), one line of the scrubbed copy to one line here, so the two compare line by line.","This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied in two stages, the second after two readings of the first (`results/S96 Check of the repaired copy - whole text.md` and `- cases.md`), made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` and `replacements_stage2.json` beside it), and a third stage after the outside cross-examination and the owner's words of 26 September (decision S28), from `replacements_stage3.json` (rulings in `results/S96 Reading of the replies.md`), one line of the scrubbed copy to one line here, so the two compare line by line.",tests/S96 Repair - scripts/replacements_stage3.json,entries[1]; line 2; group N; ruling: note,frame,no
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s3,2,sentence,full,CH-0955,D-378,1626,S96,edit,applied,no,anchored,repaired copy,paragraph,scrubbed copy,2,"*Experiment, 25 September 2026 (log S95, on decision S23). This is draft 5 of revision 2 with the words the owner forbade that day replaced, made by program (`tests/S95 Scrub - scripts/scrub_apply.py`, from `replacements.json` beside it) out of draft 5, md5 7f1d8ad02adf96e27622593bd263252e, one line of draft 5 to one line here, so the two compare line by line. It does not take the place of draft 5, which stays the current draft; it is the step the owner asked for next, to see what of the semantics is left in these words. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. One name here is provisional and says so (Part XI).*","*Experiment, 26 September 2026 (log S96, on decisions S23 to S27). This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied, made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` beside it), one line of the scrubbed copy to one line here, so the two compare line by line. The repairs take physical possibility out of what defines a question, its range of changes, an account and a conflict, and keep it where a content is instantiated or transformed and as the content of claims a candidate can conflict with (decisions S25 to S27); they add conflict with a claim, found by argument with no test, and premises taken as given; and they apply the S95 repairs. Every change, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`. It is an experiment, not yet a draft of file 13: draft 5 stays the current draft. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. Some names here are provisional and say so (Part XI).*","*Experiment, 25 September 2026 (log S95, on decision S23). This is draft 5 of revision 2 with the words the owner forbade that day replaced, made by program (`tests/S95 Scrub - scripts/scrub_apply.py`, from `replacements.json` beside it) out of draft 5, md5 7f1d8ad02adf96e27622593bd263252e, one line of draft 5 to one line here, so the two compare line by line. It does not take the place of draft 5, which stays the current draft; it is the step the owner asked for next, to see what of the semantics is left in these words. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. One name here is provisional and says so (Part XI).*","*Experiment, 26 September 2026 (log S96, on decisions S23 to S27). This is the scrubbed copy of draft 5 (log S95, md5 2517ef4ec1f274e8de2bfb7e6661ef94) with the S96 repairs applied, made by program (`tests/S96 Repair - scripts/repair_apply.py`, from `replacements.json` beside it), one line of the scrubbed copy to one line here, so the two compare line by line. The repairs take physical possibility out of what defines a question, its range of changes, an account and a conflict, and keep it where a content is instantiated or transformed and as the content of claims a candidate can conflict with (decisions S25 to S27); they add conflict with a claim, found by argument with no test, and premises taken as given; and they apply the S95 repairs. Every change, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`. It is an experiment, not yet a draft of file 13: draft 5 stays the current draft. The words, and why each was chosen, are in `tests/S95 Scrub - vocabulary, as used.md`. Some names here are provisional and say so (Part XI).*",tests/S96 Repair - scripts/replacements.json,"replace_lines[""2""]; line 2 (the dated note)",frame,no
G01,The document as a whole,sec-L1-2,Front matter (before Part 0),Opening of the Part,L2.s4,2,sentence,full,CH-0986,D-409,1768,S97,edit,applied,yes,anchored,latest text,sentence,repaired copy,2,"Every change, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`.","Every change of the first two stages, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`, and of the third in the reading of the replies.","Every change, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`.","Every change of the first two stages, with its reason, is in `tests/S96 Repair of the scrubbed copy - plan.md`, and of the third in the reading of the replies.",tests/S96 Repair - scripts/replacements_stage3.json,entries[2]; line 2; group N; ruling: note,frame,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L11.s1,11,sentence,full,CH-0582,D-1,899,S95,edit,applied,yes,anchored,scrubbed copy,span,draft 5,11,that is checked only by,that is tested only by,"An explanation is a **question-relevant organization of dependencies**, held to a target by a **transport** that is checked only by **what changes when things are changed**.","An explanation is a **question-relevant organization of dependencies**, held to a target by a **transport** that is tested only by **what changes when things are changed**.",tests/S95 Scrub - scripts/replacements.json,entries[0]; line 11; swap; MISSED,argument,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L11.s2,11,sentence,full,CH-0180,B-6,327,S76,edit,applied,yes,anchored,file 11,span,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),11,Nothing in the definition of an explanation,The definition never,"Nothing in the definition of an explanation asks whether a piece of the explanation ""is the same kind of thing"" as a piece of the world.","The definition never asks whether a piece of the explanation ""is the same kind of thing"" as a piece of the world.","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L11 s2 -> f11 L13 s2",organization,no
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L11.s4,11,sentence,full,CH-0181,B-7,328,S76,edit,applied,no,anchored,file 11,span,file 10 (authority/10 Claude Fable Semantics - standalone theory.md),11,them.,"them (Part II, Derivation 1).","Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them.","Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them (Part II, Derivation 1).","authority/11 Claude Fable Semantics - standalone theory, revision 1.md","sentence diff, file 10 -> file 11: changed f10 L11 s4 -> f11 L13 s4",form,yes
G01,The document as a whole,sec-L9-17,Part 0 — Read this first,What this document claims,L11.s4,11,sentence,full,CH-0583,D-2,900,S95,edit,applied,yes,anchored,scrubbed copy,span,draft 5,11,Derivation,Argument,"Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them (Part II, Derivation 1).","Two components no admitted change can separate are one kind at that level, whatever labels anyone attaches to them (Part II, Argument 1).",tests/S95 Scrub - scripts/replacements.json,entries[1]; line 11; swap; LISTED; generated by an AUTO rule of replacements_source.py,form,yes
