number,source,shape,tests_RAN,tests_NAME_ONLY,tests_ABSENT,tests_CANNOT,claims_SUPPORTED,claims_MISREAD,claims_OUTSIDE,verdict,breaks,by_testing_YN,turned_own_test_YN,control_mark,note
001,I1,,,,,,,,,,,,,,
002,R1,,,,,,,,,,,,,,
003,E3b,,,,,,,,,,,,,,
004,F4,,,,,,,,,,,,,,
005,F6,,,,,,,,,,,,,,
006,I1,,,,,,,,,,,,,,
007,R2,,,,,,,,,,,,,,
008,D1,,,,,,,,,,,,,,
009,D2,,,,,,,,,,,,,,
010,R2,,,,,,,,,,,,,,
011,R1,,,,,,,,,,,,,,
012,C2,,,,,,,,,,,,,,
013,C5,,,,,,,,,,,,,,
014,D1,,,,,,,,,,,,,,
015,S15,,,,,,,,,,,,,,
016,P4,,,,,,,,,,,,,,
017,P3,,,,,,,,,,,,,,
018,D1,,,,,,,,,,,,,,
019,E2b,,,,,,,,,,,,,,
020,C5,,,,,,,,,,,,,,
021,F6,,,,,,,,,,,,,,
022,S15,,,,,,,,,,,,,,
023,C5,,,,,,,,,,,,,,
024,D2,,,,,,,,,,,,,,
025,P3,,,,,,,,,,,,,,
026,S14b,,,,,,,,,,,,,,
027,E3b,,,,,,,,,,,,,,
028,S14b,,,,,,,,,,,,,,
029,F4,,,,,,,,,,,,,,
030,P4,,,,,,,,,,,,,,
031,R1,,,,,,,,,,,,,,
032,I2,,,,,,,,,,,,,,
033,D2,,,,,,,,,,,,,,
034,P4,,,,,,,,,,,,,,
035,E3b,,,,,,,,,,,,,,
036,I1,,,,,,,,,,,,,,
037,S14b,,,,,,,,,,,,,,
038,C2,,,,,,,,,,,,,,
039,E2b,,,,,,,,,,,,,,
040,I2,,,,,,,,,,,,,,
041,S15,,,,,,,,,,,,,,
042,F6,,,,,,,,,,,,,,
043,F4,,,,,,,,,,,,,,
044,E2b,,,,,,,,,,,,,,
045,P3,,,,,,,,,,,,,,
046,I2,,,,,,,,,,,,,,
047,R2,,,,,,,,,,,,,,
048,C2,,,,,,,,,,,,,,
