1. **Where:** Part VI, "Finite monotone theorem"
   **Quoted:** "If \(\Gamma\) is finite, \(\mathsf S\) is upward closed, and \(\Gamma\in\mathsf S\), then the critical singletons are exactly \(\bigcap\min\mathsf S\) and the globally indispensable ones are exactly \(\bigcup\min\mathsf S\)."
   **Defect:** The two sets are swapped, making the claim false. The critical singletons are \(\bigcup\min\mathsf S\), and the globally indispensable ones (in every support) are \(\bigcap\min\mathsf S\). Counterexample: \(\Gamma=\{a,b,c\}\), \(\mathsf S=\{\{a,b\},\{a,c\},\{a,b,c\}\}\). Then \(\min\mathsf S=\{\{a,b\},\{a,c\}\}\), so \(\bigcap\min\mathsf S=\{a\}\) and \(\bigcup\min\mathsf S=\{a,b,c\}\). But \(b\) is critical for \(\{a,b\}\) (since \(\{a\}\notin\mathsf S\)), \(c\) is critical for \(\{a,c\}\), and \(a\) is critical for \(\{a,b\}\); thus the critical singletons are \(\{a,b,c\}=\bigcup\min\mathsf S\), not \(\bigcap\min\mathsf S\). The proof supplied in the text actually derives \(\bigcup\min\mathsf S\), confirming the statement is a typo.

2. **Where:** Part XVI, "2. Indistinguishable is identical"
   **Quoted:** "Two candidates \(\mathcal E,\mathcal E'\) for the same \(p\) that both satisfy (F1), (F2), and (A) on \(C\) are one account at grain \(C\): their components are pairwise of one kind on \(C\) and their answer profiles coincide. *Proof.* Immediate from Derivation 1 and (A)."
   **Defect:** The proof is a non sequitur. Derivation 1 only states that each component of \(E\) shares the signature of *its own anchor* \(\lambda(k)\subseteq D\). It says nothing about whether components of \(E\) and components of a different organization \(E'\) share signatures. Counterexample: let \(D\) have two components \(j_1,j_2\) with different signatures on \(C\); let \(E\) have one component anchored to \(j_1\) and \(E'\) have one component anchored to \(j_2\), both satisfying (F1),(F2),(A). The components of \(E\) and \(E'\) then have different signatures and are not of one kind, contradicting the claim.

3. **Where:** Part XVI, "3. Selected transports are underdetermined on unseen changes"
   **Quoted:** "The component relations \(L_j(a,b)\) are supplied independently for each \((a,b)\). Survival on \(H\) constrains only \(\{L_j(a,b):(a,b)\in H\}\). Alter \(L_{j}(a,b)\) for one \((a,b)\notin H\) to any other admitted relation; the result survives on \(H\) and differs at \((a,b)\)."
   **Defect:** The proof varies the wrong object. By Part IV, a transport is \(t=(\pi,\tau,\sigma,\lambda)\) from \(D\) to \(E\); the relations \(L_j\) belong to the target organization \(E\), not to the transport. The variation operator \(\mu\) acts on the population \(\mathcal T\) of candidate *transports*. Altering \(L_j\) changes the organization \(E\), not the transport, and no transport is defined to have a "value at \((a,b)\)" that could differ. The proof therefore fails to establish the existence of a distinct transport \(t'\).

4. **Where:** Part XVI, "4. Surprise requires an incomplete history"
   **Quoted:** "A system can be surprised if and only if it holds a transport selected on a history \(H\) strictly smaller than the contract \(C\) of changes the world admits. *Proof.* ... If \(H=C\), every occurring \((a,b)\) is in \(H\), so no violation at \((a,b)\notin H\) exists."
   **Defect:** The proof establishes only necessity (if a system is surprised, then \(H\subsetneq C\)); it never proves sufficiency. A transport selected on \(H\subsetneq C\) might happen to be faithful on all of \(C\setminus H\) (so no violation ever occurs), or the world might never realize any change in \(C\setminus H\). Under the natural reading, such a system cannot be surprised, so the "if and only if" is unproven and the sufficiency direction is false.

5. **Where:** Part XVI, "1. Kind preservation is a theorem, not a condition"
   **Quoted:** "By (K), \(\operatorname{sig}_C(\lambda(k))=\{(a,b,\operatorname{proj}_{V_k}\operatorname{Sol}_{\lambda(k)}(a,b))\}\) and \(\operatorname{sig}_{\tau[C]}(k)=\{(\tau(a),\sigma(b),L_k(\tau(a),\sigma(b)))\}\)."
   **Defect:** Formula (K) in Part II defines the signature only for a *component* \(j\in J\), as \(\{(a,b,L_j(a,b))\}\). The anchor \(\lambda(k)\) is a *subnetwork* of \(D\), not a component, and the interpretation \(L\) supplies no relation for subnetworks. The proof substitutes \(\operatorname{proj}_{V_k}\operatorname{Sol}_{\lambda(k)}(a,b)\) for the third coordinate, silently redefining (K) for subnetworks without stating it, so the claim is not well-formed under the given definitions.

6. **Where:** Part V, "Non-circular dependence"
   **Quoted:** "There exists \((a,b)\in C\) that removes or replaces a nonempty block of \(\Gamma\) while preserving the other boundary conditions, under which the answer profile changes, ceases to be determined in the claimed way, or is left as it was."
   **Defect:** The final disjunct defeats the condition. If removing a block of commitments leaves the answer profile "as it was," this witnesses redundancy, not non-circularity; it does nothing to show the answer follows from \(E\)'s independent boundary conditions. A candidate could satisfy this clause trivially by having a redundant block, making the condition too weak to do its stated job.

7. **Where:** Part IV, "Expectation, surprise, violation"
   **Quoted:** "Let \(t\) be selected on history \(H\) with contract \(C\). For an edit–boundary pair \((a,b)\in C\) actually occurring: - the **expectation** is \(\operatorname{Ans}_S(\tau(a),\sigma(b))\);"
   **Defect:** The symbol \(S\) is used without being introduced in this context. The transport \(t\) is defined as going from organization \(D\) to organization \(E\); no simulation layer \(S\) has been stipulated as its codomain here. The formula should read \(\operatorname{Ans}_E(\tau(a),\sigma(b))\), or \(S\) must be introduced as the target of \(t\).

8. **Where:** Part XVI, "10. A two-layer episode, in exact form"
   **Quoted:** "On any contract containing it, the two persistence components are of one kind (Derivation 2)."
   **Defect:** This is a citation error. Derivation 2 concerns two *candidate accounts* being one account at a grain; it says nothing about two *components* within a single organization being of one kind. The claim should be justified directly by (K), since the swap edit maps one persistence component to the other and their signatures coincide under the footprint bijection.

END OF REPORT
